Source title,CiteScore,Highest percentile,2021-24 Citations,2021-24 Documents,% Cited,SNIP,SJR,Publisher
Physical Chemistry Chemical Physics,5.3,"75.0%
60/246
General Physics and Astronomy",57812.0,10957.0,78.0,0.795,0.698,Royal Society of Chemistry
Metals,5.3,"78.0%
39/175
Condensed Matter Physics",15910.0,3088.0,78.0,0.619,0.52,Royal Society of Chemistry
Journal of Applied Physics,5.1,"79.0%
18/87
Physics and Astronomy (miscellaneous)",34768.0,6876.0,75.0,0.979,0.58,American Institute of Physics
Journal of Materials Science: Materials in Electronics,5.1,"70.0%
287/970
Electrical and Electronic Engineering",45995.0,9007.0,77.0,0.712,0.529,Springer Nature
New Journal of Chemistry,5.0,"63.0%
147/404
General Chemistry",44294.0,8842.0,78.0,0.521,0.493,Royal Society of Chemistry
Physica B: Condensed Matter,5.0,"69.0%
294/970
Electrical and Electronic Engineering",15454.0,3089.0,74.0,0.862,0.506,Elsevier
Crystals,5.0,"68.0%
139/443
Economics and Econometrics",24364.0,4841.0,74.0,0.7,0.553,Frontiers Media S.A.
Applied Physics A: Materials Science and Processing,4.9,"63.0%
149/404
General Chemistry",18801.0,3823.0,76.0,0.75,0.486,Springer Nature
Journal of Physical Chemistry A,4.8,"51.0%
91/187
Physical and Theoretical Chemistry",18879.0,3898.0,77.0,0.867,0.634,American Chemical Society
Optics Communications,4.8,"68.0%
308/970
Electrical and Electronic Engineering",15537.0,3261.0,78.0,0.864,0.526,Elsevier
PeerJ,4.3,"83.0%
114/668
General Medicine",35134.0,8107.0,73.0,0.799,0.625,PeerJ Inc.
Heliyon,4.1,"80.0%
39/200
",140775.0,34462.0,64.0,1.123,0.644,Elsevier
Physica Scripta,3.1,"72.0%
25/89
Mathematical Physics",25754.0,8370.0,58.0,0.737,0.388,Institute of Physics Publishing
ChemistrySelect,3.0,"45.0%
219/404
General Chemistry",24390.0,8238.0,64.0,0.434,0.366,John Wiley & Sons
AIP Advances,2.6,"48.0%
126/246
General Physics and Astronomy",16246.0,6246.0,63.0,0.602,0.32,American Institute of Physics
Chinese Chemical Letters,15.7,"92.0%
29/404
General Chemistry",57724.0,3681.0,95.0,1.253,1.677,Elsevier
Journal of King Saud University - Science,7.9,"91.0%
17/200
Geophysics",19069.0,2406.0,84.0,1.538,1.82,John Wiley & Sons
Journal of the European Ceramic Society,11.5,"88.0%
38/324
Materials Chemistry",38315.0,3332.0,92.0,1.708,1.3,Elsevier
Polymers,9.7,"85.0%
58/404
Oncology",121190.0,105.0,94.0,201.167,145.004,John Wiley & Sons
